Latitude,Longitude,HS,UCL,LCL,Altitud_90m,Altitud_150m,Altitud_300m,Band_9_300m,Band_10_300m,Band_11_150m,Band_11_300m,Costo_mov_300m,Dist_Bosque_90m,Dist_Bosque_150m,Dist_Bosque_300m,Dist_corredor_90m,Dist_Corredor_150m,Dist_Corredor_300m,NBRI_300m,Resistencia_150m,Resistencia_300m,Label
6.022971531,-75.41186017,6.221234,7.266819,-6.325792,2144.5,2142.025316,2142.10559,0.001978686,294.2963967,291.0402349,291.4858288,5,2102.420476,2101.186178,2101.896111,4913.124473,4912.905796,4915.460995,0.164152333,145.2000134,140.6893728,0
6.022903172,-75.41177594,6.037666,7.078643,-6.454056,2144.517241,2142.225,2142.125786,0.001975829,294.2485475,291.0241428,291.4469534,5,2086.838042,2087.619208,2090.070131,4922.307826,4921.599791,4921.091691,0.163854261,146.186566,140.4549211,0
6.022836033,-75.41169294,5.855884,6.892324,-6.581392,2144.068966,2142.475,2142.339623,0.001970903,294.2260363,291.0508533,291.4300564,5,2072.927137,2077.222933,2081.004326,4931.219727,4928.741449,4929.616493,0.160187792,145.3338139,140.8256729,0
6.022767674,-75.41160993,5.62425,7.688194,-6.759419,2142.964286,2142.278481,2142.410095,0.001971897,294.1309014,290.9204411,291.3489314,5,2062.148092,2066.034527,2068.645495,4931.29295,4935.299888,4937.645643,0.160457908,146.580553,140.6923196,0
6.022699315,-75.4115257,5.451651,7.505003,-6.868464,2142.551724,2142.62963,2142.482759,0.001972259,294.1042716,290.8830329,291.3261581,5,2057.406969,2054.079933,2054.108867,4947.027419,4947.32968,4946.518428,0.158851141,145.9998537,140.7551403,0
6.022630955,-75.41144269,5.768369,7.785282,-7.341561,2142.25,2142.632911,2142.644444,0.001963568,294.0827509,290.9535036,291.3079798,5,2040.735728,2042.650809,2045.915849,4950.444282,4951.146516,4952.909167,0.156980233,144.8095848,140.9649569,0
6.022562596,-75.41135968,5.087222,8.068015,-7.829552,2141.535714,2142.835443,2142.778481,0.001962746,294.0401,290.9445372,291.2680785,5,2027.914063,2030.880419,2034.93826,4962.671744,4959.410812,4962.077072,0.154545866,146.1294403,141.119259,0
6.022495457,-75.41127668,4.788593,7.744515,-7.035094,2141.551724,2142.948718,2143.088608,0.001964611,293.9608148,290.935874,291.2011453,5,2015.495889,2018.026261,2022.598398,4968.45963,4966.624393,4970.498766,0.152605649,146.4831757,140.9980208,0
6.022428319,-75.41119367,4.552197,8.476504,-7.220726,2141.444444,2143.037975,2143.31962,0.0019652,293.9321094,290.9310898,291.1777207,5,2010.816993,2009.174263,2008.266346,4975.093533,4978.097949,4977.458454,0.14946244,146.4470793,141.2901004,0
6.022359959,-75.41111066,4.415751,8.323494,-6.330545,2141.896552,2143.037037,2143.595611,0.001964026,293.9143336,291.0209855,291.1623191,5,1989.091346,1992.601322,1998.875489,4984.64132,4984.274712,4982.871079,0.14535978,146.6609607,141.0875452,0
