Latitude,Longitude,HS,UCL,LCL_,Altitud_90m,Altitud_150m,Altitud_300m,band_9_300m,band_10_300m,band_11_150m,band_11_300m,Costo de Movimiento_300m,Distancia a Bosque_90m,Distancia a Bosque_150m,Distancia a Bosque_300m,Distancia a corredor biologico_90m,Distancia a corredor biologico_150m,Distancia a corredor biologico_300m,NBRI_300m,Resistencia_150m,Resistencia_300m,Label
6.095563797,-75.33952821,-6.347192,7.026146,"  -9.433347",2155.242188,2153.223684,2153.355482,0.00151113,295.0909521,292.2102497,292.0691915,0,3080.640381,3078.265189,3054.708058,636.1568604,634.4702555,632.8498918,-0.004895971,155.2909276,148.0394819,0
6.095690751,-75.33960634,-6.545459,7.705929,"  -9.599328",2154.609375,2152.671053,2153.403974,0.001512349,295.0432466,292.1928166,292.02194,0,3091.598877,3089.840895,3067.896724,632.4619751,631.0014407,627.0326464,0.000808576,153.8949348,148.0196706,0
6.095817704,-75.33968568,-5.67267,7.449164,"  -9.710157",2153.980957,2152.583333,2153.570946,0.001517177,294.9838492,292.1815013,291.9614182,0,3102.771973,3102.063991,3077.314581,628.6583862,628.2196414,624.2193143,0.007006304,154.5613984,147.9348133,0
6.095944657,-75.33976503,-5.855761,7.157041,"  -9.859700",2153.290771,2152.386667,2153.708054,0.001512339,294.8994201,292.0735584,291.8818228,0,3113.973145,3112.392462,3091.927275,624.9030151,625.7314766,621.7068475,0.015167934,154.2702247,147.682024,0
6.096072831,-75.33984315,-6.036149,6.870091,"  -9.014512",2152.335693,2151.813333,2153.774086,0.001518133,294.8368093,292.0338166,291.8135019,0,3125.120117,3123.309935,3102.671136,621.0415039,619.9735433,621.6609961,0.022387854,154.4453078,147.958034,0
6.096199784,-75.33992128,-6.253312,6.548744,"  -7.238086",2151.77124,2151.813333,2153.99,0.001515488,294.7516941,291.936755,291.7337872,0,3136.293945,3134.962884,3113.396398,617.1071777,617.3518705,614.8809977,0.031893899,155.3607806,147.9573159,0
6.096326737,-75.34000063,-6.486853,6.213311,"  -7.463789",2151.226074,2151.68,2154.037037,0.001516296,294.6919192,291.9178791,291.6796623,0,3147.630859,3146.507851,3125.026999,613.4087524,613.5250224,612.6504329,0.038384296,156.1542944,147.8875966,0
6.09645369,-75.34007997,-6.687948,5.912534,"  -7.657216",2150.821289,2151.25,2154.338926,0.001518597,294.5998944,291.8083085,291.591727,0,3159.041504,3158.715456,3138.787712,609.7088623,608.6624923,608.9644406,0.050379817,156.1977195,147.7698891,0
6.096580643,-75.3401581,-6.857377,6.607318,"  -7.819141",2150.188477,2151.078947,2154.58804,0.001516648,294.5269859,291.7408828,291.5210295,0,3170.32251,3172.14773,3151.105986,605.7631226,608.6563172,607.9029366,0.059146008,155.1351854,147.961626,0
6.096707596,-75.34023622,-7.244035,6.117822,"  -6.289617",2149.555664,2151.082192,2154.800676,0.001516411,294.4502873,291.6704051,291.4527222,0,3181.703613,3184.165235,3160.658296,602.0894775,604.0969194,598.9341149,0.06916843,156.6146228,147.5708065,0
6.09683577,-75.34031557,-4.631933,5.787549,"  -6.526385",2149.001221,2151.22973,2155.010033,0.001516952,294.3855741,291.5538549,291.3891324,0,3193.22998,3193.686471,3173.603308,598.2672119,597.8081781,597.4953324,0.074304515,156.1783827,147.9661439,0
6.096962723,-75.34039491,-4.832528,6.449639,"  -6.712890",2148.777588,2151.586667,2155.089701,0.001519505,294.275418,291.3590805,291.2876825,0,3204.835938,3204.945737,3187.390033,594.5299683,595.2309297,596.1133379,0.078513237,156.6382621,147.8764581,0
6.097089676,-75.34047304,-5.008934,6.184215,"  -5.941697",2148.883057,2151.802632,2155.056667,0.001517799,294.2127045,291.2550557,291.2294865,0,3216.300293,3216.36898,3198.588635,590.8531494,589.1301884,588.845888,0.080396159,155.5273524,147.6752632,0
6.097197098,-75.34057069,-5.264885,6.76385,"  -6.190172",2149.040771,2152.014493,2155.105442,0.001519531,294.1703939,291.2866203,291.1878278,0,3229.475098,3230.319587,3210.272314,589.9727783,590.7144104,590.1307631,0.080209276,156.1765801,147.4792625,0
6.097275223,-75.34069887,-5.409789,6.530323,"  -6.328259",2148.7854,2152.714286,2155.426667,0.001519164,294.1097151,291.2559954,291.1309013,0,3245.233398,3247.927402,3225.698744,593.8931274,595.9286336,593.9561332,0.078808294,156.9302097,147.7711523,0
6.097353348,-75.34082704,-5.635572,7.131096,"  -6.547477",2149.857422,2153.594595,2155.634868,0.001516164,294.0673983,291.2382743,291.092447,0,3260.97998,3260.934069,3238.617039,597.8300781,596.9570401,596.6894669,0.08105589,155.1998285,147.3818319,0
6.097432694,-75.34095399,-5.822854,6.855211,"  -6.728430",2154.281982,2154.146667,2155.583893,0.001509874,294.0073919,291.2428322,291.0372031,0,3276.645752,3277.106251,3253.982936,601.4300537,601.5277376,605.3930959,0.083841211,155.9296333,147.6702633,0
6.097510819,-75.34108217,-6.017455,6.575126,"  -6.916925",2158.348633,2154.869565,2155.914966,0.001508774,293.9589339,291.1486218,290.9953888,0,3292.442139,3291.72193,3265.794311,605.40979,604.901744,604.8323773,0.088400304,155.2804613,147.6766997,0
